date,serial_number,model,user_capacity,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw
2016-03-26,Z304JE2N,ST4000DM000,4000787030016,0,114,67956016,97,0,100,3,100,0,81,141522519,96,3562,100,0,100,3,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,100.0,0.0,98.0,5259.0,28.0,28.0,100,0,100,0,200,0,100.0,3514.0,100.0,16967327656.0,100.0,1531858792.0
2016-03-26,Z302F3CD,ST4000DM000,4000787030016,0,114,79304216,97,0,100,3,100,0,86,444551500,89,9918,100,0,100,3,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,77.0,47706.0,20.0,20.0,100,0,100,0,200,0,100.0,9756.0,100.0,33418435048.0,100.0,17392364490.0
2016-03-26,Z305DEMV,ST4000DM000,4000787030016,0,117,132020360,96,0,100,4,100,0,80,115795984,98,2433,100,0,100,4,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,100.0,0.0,85.0,30116.0,25.0,25.0,100,0,100,0,200,0,100.0,2199.0,100.0,13131423432.0,100.0,5976674362.0
2016-03-26,Z305NZ63,ST4000DM000,4000787030016,0,112,46715016,97,0,100,3,100,0,63,2298399,100,775,100,0,100,3,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,100.0,0.0,84.0,32685.0,34.0,34.0,100,0,100,0,200,0,100.0,555.0,100.0,746594040.0,100.0,269229781.0
2016-03-26,S301NGZV,ST4000DM000,4000787030016,0,106,12432848,95,0,100,5,100,0,81,134286072,96,3578,100,0,100,5,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,95.0,10383.0,26.0,26.0,100,0,100,0,200,0,100.0,3493.0,100.0,16165595528.0,100.0,1573061322.0
2016-03-26,Z305GXX4,ST4000DM000,4000787030016,0,120,242654512,99,0,100,1,100,0,77,51462424,99,920,100,0,100,1,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,99.0,2966.0,22.0,22.0,100,0,100,0,200,0,100.0,903.0,100.0,8240037120.0,100.0,661207796.0
2016-03-26,Z300X922,ST4000DM000,4000787030016,0,117,152992808,91,0,100,8,100,0,87,538992404,78,19947,100,0,100,8,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,97.0,3.0,76.0,24.0,100.0,0.0,100.0,2.0,96.0,8720.0,24.0,24.0,100,0,100,0,200,0,100.0,19910.0,100.0,24324098106.0,100.0,230610840186.0
2016-03-26,Z30111FC,ST4000DM000,4000787030016,0,119,230342992,95,0,100,5,100,0,85,395393158,79,18726,100,0,100,5,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,98.0,2.0,78.0,22.0,100.0,0.0,100.0,2.0,98.0,5358.0,22.0,22.0,100,0,100,0,200,0,100.0,18703.0,100.0,22637699104.0,100.0,211915836377.0
2016-03-26,Z304HT8W,ST4000DM000,4000787030016,0,114,59206288,96,0,100,4,100,0,81,124880766,97,3104,100,0,100,4,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,99.0,2928.0,22.0,22.0,100,0,100,0,200,0,100.0,3074.0,100.0,14775406120.0,100.0,1230976776.0
2016-03-26,S3010M7H,ST4000DM000,4000787030016,0,115,99349296,91,0,100,13,100,0,84,274527764,92,7258,100,0,100,13,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,100.0,0.0,82.0,37601.0,31.0,31.0,100,0,100,0,200,0,100.0,6930.0,100.0,24459152968.0,100.0,10251302242.0
